level,order,domain,topic,notes_examples
A1,1,Functions,Приветствия/прощания/формулы вежливости,"Hello/Hi/Goodbye/Bye; please, thank you, sorry"
A1,2,Functions,Представление себя/других,"I'm Anna. This is my friend Tom. Nice to meet you."
A1,3,Functions,Личная информация,"name, age, country, nationality, job, address/phone/email"
A1,4,Functions,Запрос/предоставление базовой инфо,"What's your name/number? Where are you from? How old are you?"
A1,5,Functions,Покупки/цены/количества,"How much is it? I'd like…; numbers, money, some/any"
A1,6,Functions,Еда/напитки (кафе/магазин),"Can I have a coffee? A bottle of water, please."
A1,7,Functions,Время/даты/расписание,"What's the time? At 7 o'clock; on Monday; in May"
A1,8,Functions,Направления/локация,"Where is the station? Go straight, turn left/right; next to, between"
A1,9,Functions,Описание людей/предметов/мест,"He is tall; a small red car; It's big/new/old"
A1,10,Functions,Предпочтения/намерения,"I like pizza. I don't like coffee. I want to go home."
A1,11,Functions,Приглашения/предложения,"Would you like…? Let's go to the cinema."
A1,12,Functions,Способности/разрешение,"I can swim. Can I open the window?"
A1,13,Functions,Планы ближайшего будущего,"I'm going to visit my friend on Saturday."
A1,14,Functions,Договорённости о встрече,"Let's meet at 6. See you on Friday."

